sample_id,word_index,token,start_sec,end_sec,confidence,fallback
-NFrJFQijFE$_$2,0,So,0.05000000074505806,0.25,0.5653877258300781,False
-NFrJFQijFE$_$2,1,we,0.25,0.44999998807907104,0.5762097835540771,False
-NFrJFQijFE$_$2,2,coordinate,0.44999998807907104,1.0,0.5887471437454224,False
-NFrJFQijFE$_$2,3,with,1.0,1.2999999523162842,0.6569286584854126,False
-NFrJFQijFE$_$2,4,all,1.2999999523162842,1.5499999523162842,0.6012755632400513,False
-NFrJFQijFE$_$2,5,the,1.5499999523162842,1.75,0.5362728834152222,False
-NFrJFQijFE$_$2,6,proper,1.75,2.200000047683716,0.7795968651771545,False
-NFrJFQijFE$_$2,7,technical,2.200000047683716,2.9000000953674316,0.7633694410324097,False
-NFrJFQijFE$_$2,8,fields,2.9000000953674316,3.25,0.6290925145149231,False
-NFrJFQijFE$_$2,9,to,3.25,3.5,0.7120533585548401,False
-NFrJFQijFE$_$2,10,get,3.5,3.8499999046325684,0.7835842370986938,False
-NFrJFQijFE$_$2,11,ready,3.8499999046325684,4.25,0.7358373999595642,False
-NFrJFQijFE$_$2,12,for,4.25,4.599999904632568,0.7652467489242554,False
-NFrJFQijFE$_$2,13,the,4.599999904632568,4.900000095367432,0.735318124294281,False
-NFrJFQijFE$_$2,14,instrument,4.900000095367432,5.800000190734863,0.7133246660232544,False
-NFrJFQijFE$_$2,15,to,5.800000190734863,5.949999809265137,0.5144964456558228,False
-NFrJFQijFE$_$2,16,arrive,5.949999809265137,6.25,0.6767090559005737,False
-NFrJFQijFE$_$2,17,here,6.25,6.5,0.832732617855072,False
